PLAYER_ID,PLAYER_NAME,GP,MIN_TOTAL,PRIMARY_DECADE,ERA_LABEL,HP_PCT,ATTACK_PCT,DEFENSE_PCT,SPATK_PCT,SPDEF_PCT,SPEED_PCT
201958,Rodrigue Beaubois,182,2895.5216666666665,2010,Pace-and-Space Small-Ball,41.26904361102294,67.79917726107703,75.20655302890573,80.50013165347802,58.458105982883,53.735149161037576
201959,Taj Gibson,1002,23069.905,2010,Pace-and-Space Small-Ball,65.13721868911918,47.50286722744023,58.30765931145629,23.14376091641479,49.52427425892526,30.38710331993595
201960,DeMarre Carroll,578,13674.015,2010,Pace-and-Space Small-Ball,70.29616286740558,51.12843812379659,50.472600581030115,35.292662283172106,61.43227316478723,49.030059546019494
201961,Wayne Ellington,770,16100.433333333332,2010,Pace-and-Space Small-Ball,56.90635413573084,53.34588551059231,45.71034833137119,35.842201962026564,31.643949153970798,44.217104000238805
201962,Toney Douglas,394,7509.38,2010,Pace-and-Space Small-Ball,49.59094464929137,59.551105549221475,44.50350186925242,77.00041088261729,56.11704621978078,53.58718329263885
201963,Christian Eyenga,51,1049.3933333333334,2010,Pace-and-Space Small-Ball,54.03773768666381,30.220797970626908,16.089067863977863,22.89380108456922,53.02588337931425,27.83770011494638
201964,Victor Claver,80,1071.8433333333332,2010,Pace-and-Space Small-Ball,33.13889973557103,13.2402505281261,49.54655215722674,34.05510903861055,51.027757094716655,23.529446802049808
201965,Jeff Ayres,237,2322.1,2010,Pace-and-Space Small-Ball,19.54795545738669,28.317604798903133,56.49399599416819,26.40036730771578,49.12751368370812,46.54782350371413
201967,Dante Cunningham,715,14875.485,2010,Pace-and-Space Small-Ball,56.4391120124021,22.75595774129737,46.27100711904375,15.819807247093019,54.10668534243755,42.10496800598695
201970,Sam Young,249,3965.5733333333333,2010,Pace-and-Space Small-Ball,40.12393509157146,49.51154752123369,55.95568910408694,31.58097805498828,48.65967715397295,41.268220813449524
201971,DeJuan Blair,424,7054.326666666667,2010,Pace-and-Space Small-Ball,44.434004538588624,61.935533255666854,57.00997756434998,33.57408977385012,83.8134124314673,47.4139747720075
201972,Jon Brockman,150,1569.855,2010,Pace-and-Space Small-Ball,21.28811276037893,8.770732531944434,57.39383335891344,13.039703003985442,53.56837808990761,37.05761303599636
201973,Jonas Jerebko,635,11322.98,2010,Pace-and-Space Small-Ball,46.46237056419692,43.37073677298251,47.08159526828762,29.280118806494347,59.657165381384544,36.42413657321002
201974,Derrick Brown,171,2554.0533333333333,2010,Pace-and-Space Small-Ball,41.64059270840558,44.216821165337784,49.88450610091787,37.22499926446905,51.574611562976344,21.585609812227396
201975,Jodie Meeks,539,12110.06,2010,Pace-and-Space Small-Ball,64.56731095640114,61.51108689440286,43.746550420660235,31.232339570921628,40.800540649890564,46.743622426229436
201976,Patrick Beverley,666,17688.296666666665,2010,Pace-and-Space Small-Ball,73.70480976483475,29.671996012575725,49.86632616146214,73.00654604320206,58.55491712921004,51.44662638410057
